customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
C04500,10,4,3808.0,4,1,2,412
C04501,32,12,7071.630000000001,2,4,4,244
C04502,2,17,10244.470000000001,5,5,5,555
C04503,28,8,1856.0,2,2,1,221
C04504,4,9,2234.0,5,3,1,531
C04505,5,8,2438.0,5,2,2,522
C04506,19,9,6002.0,3,3,4,334
C04507,3,7,2955.0,5,2,2,522
C04508,3,11,7173.0,5,3,4,534
C04509,24,9,4398.0,2,3,3,233
C04510,21,12,3462.0,2,4,2,242
C04511,26,13,10494.35,2,4,5,245
C04512,12,6,1076.0,4,1,1,411
C04513,3,3,872.0,5,1,1,511
C04514,24,15,11727.0,2,5,5,255
C04515,88,3,1467.0,1,1,1,111
C04516,5,13,5317.720000000001,5,4,3,543
C04517,4,6,2572.0,5,1,2,512
C04518,9,7,2918.0,4,2,2,422
C04519,13,14,5951.0,3,4,4,344
C04520,24,7,4642.470000000001,2,2,3,223
C04521,4,14,6941.0,5,4,4,544
C04522,23,12,5269.0,2,4,3,243
C04523,40,9,3397.0,1,3,2,132
C04524,14,7,2987.0,3,2,2,322
C04525,83,2,2037.0,1,1,1,111
C04526,17,6,5101.470000000001,3,1,3,313
C04527,9,11,3342.0,4,3,2,432
C04528,2,9,2524.0,5,3,2,532
C04529,47,2,673.0,1,1,1,111
C04530,73,5,1844.0,1,1,1,111
C04531,40,7,4044.0,1,2,3,123
C04532,6,6,2594.0,5,1,2,512
C04533,7,19,9400.72,4,5,5,455
C04534,20,12,6338.8,3,4,4,344
C04535,39,7,2122.65,1,2,1,121
C04536,3,7,12541.970000000001,5,2,5,525
C04537,13,7,2193.0,3,2,1,321
C04538,3,13,7955.8,5,4,4,544
C04539,4,14,8604.0,5,4,5,545
C04540,19,10,3365.0,3,3,2,332
C04541,9,19,8589.65,4,5,5,455
C04542,39,8,2360.0,1,2,2,122
C04543,26,11,6482.470000000001,2,3,4,234
C04544,82,3,1218.0,1,1,1,111
C04545,21,6,2960.0,2,1,2,212
C04546,5,12,8686.0,5,4,5,545
C04547,11,13,6048.0,4,4,4,444
C04548,27,3,1314.0,2,1,1,211
C04549,89,6,5622.88,1,1,3,113
C04550,39,8,3510.0,1,2,2,122
C04551,28,9,3490.0,2,3,2,232
C04552,3,9,4568.0,5,3,3,533
C04553,3,15,5812.0,5,5,4,554
C04554,3,3,553.0,5,1,1,511
C04555,36,3,8883.410000000003,2,1,5,215
C04556,10,13,2650.0,4,4,2,442
C04557,28,11,2351.0,2,3,2,232
C04558,31,5,3269.470000000001,2,1,2,212
C04559,6,6,2504.0,5,1,2,512
C04560,51,8,4170.0,1,2,3,123
C04561,3,9,2796.0,5,3,2,532
C04562,9,15,10505.0,4,5,5,455
C04563,45,6,2489.0,1,1,2,112
