customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
C04564,33,8,8621.0,2,2,5,225
C04565,46,9,5224.0,1,3,3,133
C04566,18,15,4045.0,3,5,3,353
C04567,7,10,6210.0,4,3,4,434
C04568,35,17,11443.75,2,5,5,255
C04569,16,3,657.0,3,1,1,311
C04570,22,9,2894.0,2,3,2,232
C04571,9,12,7419.0,4,4,4,444
C04572,8,13,4948.0,4,4,3,443
C04573,40,3,1303.0,1,1,1,111
C04574,63,6,6180.470000000001,1,1,4,114
C04575,5,11,9646.0,5,3,5,535
C04576,7,9,7289.0,4,3,4,434
C04577,8,7,3224.0,4,2,2,422
C04578,3,16,8844.65,5,5,5,555
C04579,12,15,4154.0,4,5,3,453
C04580,40,8,3086.0,1,2,2,122
C04581,11,10,7341.0,4,3,4,434
C04582,22,11,6728.0,2,3,4,234
C04583,6,13,5257.0,5,4,3,543
C04584,28,15,10702.4,2,5,5,255
C04585,35,15,4121.0,2,5,3,253
C04586,9,14,7391.0,4,4,4,444
C04587,24,10,6364.8,2,3,4,234
C04588,16,13,6773.0,3,4,4,344
C04589,15,18,13514.0,3,5,5,355
C04590,2,9,3832.470000000001,5,3,3,533
C04591,18,6,2214.0,3,1,1,311
C04592,5,10,4746.0,5,3,3,533
C04593,22,8,5704.0,2,2,3,223
C04594,55,4,6845.470000000001,1,1,4,114
C04595,2,5,5298.0,5,1,3,513
C04596,30,13,2260.0,2,4,1,241
C04597,50,4,2850.0,1,1,2,112
C04598,11,7,1989.0,4,2,1,421
C04599,6,13,4250.05,5,4,3,543
C04600,19,9,6508.0,3,3,4,334
C04601,2,10,3632.45,5,3,2,532
C04602,4,10,7946.940000000002,5,3,4,534
C04603,32,10,14239.410000000003,2,3,5,235
C04604,10,6,3708.0,4,1,2,412
C04605,7,9,10291.940000000002,4,3,5,435
C04606,9,8,4387.0,4,2,3,423
C04607,60,3,894.0,1,1,1,111
C04608,30,7,6804.5,2,2,4,224
C04609,21,18,7709.15,2,5,4,254
C04610,18,15,10347.0,3,5,5,355
C04611,30,12,16373.0,2,4,5,245
C04612,10,15,8377.0,4,5,4,454
C04613,5,8,4197.0,5,2,3,523
C04614,4,7,3998.0,5,2,3,523
C04615,45,11,2011.0,1,3,1,131
C04616,5,13,5869.0,5,4,4,544
C04617,53,8,2171.0,1,2,1,121
C04618,10,17,6571.0,4,5,4,454
C04619,37,13,8118.0,1,4,4,144
C04620,25,17,13454.040000000003,2,5,5,255
C04621,38,16,7919.5,1,5,4,154
C04622,4,8,5283.470000000001,5,2,3,523
C04623,3,15,9806.0,5,5,5,555
C04624,111,1,2350.0,1,1,2,112
C04625,43,8,4662.0,1,2,3,123
C04626,23,7,2058.1,2,2,1,221
C04627,18,7,1564.0,3,2,1,321
C04628,2,18,14483.25,5,5,5,555
C04629,21,14,4484.65,2,4,3,243
C04630,22,8,3253.0,2,2,2,222
C04631,5,11,8112.0,5,3,4,534
C04632,3,12,6623.470000000001,5,4,4,544
C04633,13,6,3291.0,3,1,2,312
C04634,16,12,5834.0,3,4,4,344
C04635,7,14,2294.0,4,4,1,441
C04636,18,5,2784.0,3,1,2,312
C04637,24,12,12580.940000000002,2,4,5,245
C04638,9,9,1676.0,4,3,1,431
C04639,12,9,2363.0,4,3,2,432
C04640,9,13,7015.0,4,4,4,444
C04641,19,8,3479.0,3,2,2,322
C04642,34,6,3250.0,2,1,2,212
C04643,8,3,1296.0,4,1,1,411
C04644,22,11,6704.470000000001,2,3,4,234
C04645,63,2,756.0,1,1,1,111
C04646,28,12,3308.65,2,4,2,242
C04647,11,7,2919.0,4,2,2,422
C04648,2,13,4912.0,5,4,3,543
C04649,2,6,4531.0,5,1,3,513
C04650,16,10,5697.5,3,3,3,333
C04651,28,17,14436.470000000001,2,5,5,255
C04652,3,11,14401.850000000006,5,3,5,535
C04653,8,11,3235.0,4,3,2,432
C04654,28,2,1028.0,2,1,1,211
C04655,47,9,3740.0,1,3,2,132
C04656,19,3,1407.0,3,1,1,311
C04657,48,2,1872.0,1,1,1,111
C04658,30,9,4661.2,2,3,3,233
C04659,21,9,1392.0,2,3,1,231
C04660,37,12,5542.0,1,4,3,143
C04661,2,13,11393.0,5,4,5,545
C04662,59,8,3823.0,1,2,3,123
C04663,31,15,5585.0,2,5,3,253
C04664,13,12,24225.350000000006,3,4,5,345
C04665,13,13,6926.0,3,4,4,344
C04666,7,16,6726.0,4,5,4,454
C04667,3,11,3746.0,5,3,2,532
C04668,8,9,2084.15,4,3,1,431
C04669,6,11,8015.0,5,3,4,534
C04670,21,9,6530.0,2,3,4,234
C04671,9,13,5753.0,4,4,3,443
C04672,24,8,2893.0,2,2,2,222
C04673,5,12,6777.470000000001,5,4,4,544
C04674,8,14,6661.3,4,4,4,444
C04675,5,9,4369.5,5,3,3,533
C04676,2,9,4636.0,5,3,3,533
C04677,6,2,524.0,5,1,1,511
C04678,4,7,1839.0,5,2,1,521
C04679,2,14,3513.0,5,4,2,542
C04680,16,2,4277.0,3,1,3,313
C04681,9,18,16976.47,4,5,5,455
C04682,26,9,4728.0,2,3,3,233
C04683,21,11,4993.0,2,3,3,233
C04684,4,5,3095.4,5,1,2,512
C04685,21,9,6328.470000000001,2,3,4,234
C04686,48,16,7263.0,1,5,4,154
C04687,64,3,2714.0,1,1,2,112
C04688,17,8,2967.0,3,2,2,322
C04689,33,12,11318.410000000003,2,4,5,245
C04690,5,12,5747.0,5,4,3,543
C04691,25,4,3004.0,2,1,2,212
C04692,28,6,2926.0,2,1,2,212
C04693,9,14,8399.0,4,4,4,444
C04694,4,8,3900.0,5,2,3,523
C04695,2,11,13378.940000000002,5,3,5,535
C04696,25,7,8585.970000000001,2,2,5,225
C04697,135,3,3267.470000000001,1,1,2,112
C04698,4,14,23182.21000000001,5,4,5,545
C04699,4,12,13585.880000000005,5,4,5,545
C04700,18,12,7657.0,3,4,4,344
C04701,5,13,10639.470000000001,5,4,5,545
C04702,53,5,5873.0,1,1,4,114
C04703,89,5,636.0,1,1,1,111
C04704,17,10,4540.5,3,3,3,333
C04705,11,6,4415.0,4,1,3,413
C04706,42,5,1471.0,1,1,1,111
C04707,19,8,2156.0,3,2,1,321
C04708,17,10,3819.0,3,3,3,333
C04709,2,8,3922.470000000001,5,2,3,523
C04710,59,6,5246.0,1,1,3,113
C04711,11,17,11004.65,4,5,5,455
C04712,3,13,8789.25,5,4,5,545
C04713,149,4,641.0,1,1,1,111
C04714,37,11,6157.0,1,3,4,134
C04715,29,7,4159.0,2,2,3,223
C04716,8,9,13172.410000000003,4,3,5,435
C04717,3,16,9710.6,5,5,5,555
C04718,12,6,6803.940000000002,4,1,4,414
C04719,68,9,3857.0,1,3,3,133
C04720,95,7,5851.0,1,2,4,124
C04721,12,11,2744.0,4,3,2,432
C04722,3,15,19265.8,5,5,5,555
C04723,38,4,1783.0,1,1,1,111
C04724,17,18,14200.87,3,5,5,355
C04725,12,9,4684.35,4,3,3,433
C04726,2,13,3165.0,5,4,2,542
C04727,36,8,6286.0,2,2,4,224
C04728,137,2,4087.0,1,1,3,113
C04729,29,5,5199.0,2,1,3,213
C04730,9,7,8111.4100000000035,4,2,4,424
C04731,24,14,8467.0,2,4,4,244
C04732,7,9,12957.05,4,3,5,435
C04733,71,2,1386.0,1,1,1,111
C04734,9,7,4458.35,4,2,3,423
C04735,16,18,8713.970000000001,3,5,5,355
C04736,29,3,1332.0,2,1,1,211
C04737,13,6,2105.0,3,1,1,311
C04738,55,13,32560.880000000005,1,4,5,145
C04739,67,3,1506.0,1,1,1,111
C04740,68,3,2248.0,1,1,1,111
C04741,16,14,5226.0,3,4,3,343
C04742,39,7,2808.0,1,2,2,122
C04743,18,9,11939.0,3,3,5,335
C04744,9,9,24525.0,4,3,5,435
C04745,33,15,7276.0,2,5,4,254
C04746,12,13,2250.0,4,4,1,441
C04747,32,13,10620.0,2,4,5,245
C04748,26,10,4523.0,2,3,3,233
C04749,5,8,2146.0,5,2,1,521
C04750,45,6,4701.0,1,1,3,113
C04751,20,10,3077.0,3,3,2,332
C04752,5,19,10886.0,5,5,5,555
C04753,2,9,2411.0,5,3,2,532
C04754,39,9,6331.470000000001,1,3,4,134
C04755,27,3,817.0,2,1,1,211
C04756,39,2,1179.0,1,1,1,111
C04757,13,8,5205.0,3,2,3,323
C04758,8,13,7318.0,4,4,4,444
C04759,118,1,229.0,1,1,1,111
C04760,13,10,4835.0,3,3,3,333
C04761,38,4,686.0,1,1,1,111
C04762,19,7,2468.0,3,2,2,322
C04763,6,12,7426.0,5,4,4,544
C04764,11,8,5414.0,4,2,3,423
C04765,7,11,6993.5,4,3,4,434
C04766,11,7,2063.0,4,2,1,421
C04767,15,5,3343.0,3,1,2,312
C04768,3,15,5564.0,5,5,3,553
C04769,17,6,6624.0,3,1,4,314
C04770,29,16,10588.470000000001,2,5,5,255
C04771,4,7,1794.0,5,2,1,521
C04772,13,6,2456.0,3,1,2,312
C04773,13,12,4239.0,3,4,3,343
C04774,35,16,10628.4,2,5,5,255
C04775,3,18,13588.0,5,5,5,555
C04776,29,9,3486.15,2,3,2,232
C04777,40,15,7541.0,1,5,4,154
C04778,8,8,4817.0,4,2,3,423
C04779,17,14,3497.0,3,4,2,342
C04780,7,8,4535.5,4,2,3,423
C04781,54,9,5140.0,1,3,3,133
C04782,36,9,1751.0,2,3,1,231
C04783,43,8,4918.0,1,2,3,123
C04784,5,9,6053.0,5,3,4,534
C04785,3,9,4189.25,5,3,3,533
C04786,19,16,9870.470000000001,3,5,5,355
C04787,4,12,10093.0,5,4,5,545
C04788,20,10,5316.470000000001,3,3,3,333
C04789,4,17,4804.0,5,5,3,553
C04790,6,9,4117.0,5,3,3,533
C04791,23,8,9077.25,2,2,5,225
C04792,18,15,16231.0,3,5,5,355
C04793,2,6,1242.0,5,1,1,511
C04794,19,10,5591.0,3,3,3,333
C04795,32,5,2102.0,2,1,1,211
C04796,20,8,4555.0,3,2,3,323
C04797,18,8,3467.45,3,2,2,322
C04798,14,18,14236.0,3,5,5,355
C04799,47,8,2919.0,1,2,2,122
C04800,41,8,3379.0,1,2,2,122
C04801,5,17,6631.0,5,5,4,554
C04802,10,4,778.0,4,1,1,411
C04803,16,9,7861.940000000002,3,3,4,334
C04804,21,4,3941.0,2,1,3,213
C04805,17,14,5384.0,3,4,3,343
C04806,19,11,3576.0,3,3,2,332
C04807,10,8,3168.0,4,2,2,422
C04808,7,12,9931.1,4,4,5,445
C04809,23,11,1849.0,2,3,1,231
C04810,20,2,614.0,3,1,1,311
C04811,13,12,12813.0,3,4,5,345
C04812,19,7,2029.0,3,2,1,321
C04813,11,7,6440.3,4,2,4,424
C04814,49,3,692.0,1,1,1,111
C04815,6,17,5647.0,5,5,3,553
C04816,15,3,1066.0,3,1,1,311
C04817,74,6,2913.0,1,1,2,112
C04818,5,18,6947.0,5,5,4,554
C04819,5,16,13012.0,5,5,5,555
C04820,23,4,2246.0,2,1,1,211
C04821,30,8,5504.0,2,2,3,223
C04822,14,13,3956.0,3,4,3,343
C04823,19,12,7955.0,3,4,4,344
C04824,16,12,4147.0,3,4,3,343
C04825,143,2,598.0,1,1,1,111
C04826,15,14,11014.0,3,4,5,345
C04827,20,9,2405.0,3,3,2,332
C04828,86,6,3760.0,1,1,2,112
C04829,61,5,3564.0,1,1,2,112
C04830,4,12,4404.0,5,4,3,543
C04831,34,6,2232.0,2,1,1,211
C04832,11,18,6854.8,4,5,4,454
C04833,20,14,7790.0,3,4,4,344
C04834,7,15,4897.0,4,5,3,453
C04835,2,14,7589.0,5,4,4,544
C04836,2,13,8262.0,5,4,4,544
C04837,9,8,5960.0,4,2,4,424
C04838,47,6,935.0,1,1,1,111
C04839,12,13,6255.15,4,4,4,444
C04840,15,11,6446.0,3,3,4,334
C04841,32,10,2556.0,2,3,2,232
C04842,45,8,4261.0,1,2,3,123
C04843,39,7,5602.0,1,2,3,123
C04844,18,17,13289.0,3,5,5,355
C04845,71,8,7690.720000000001,1,2,4,124
C04846,17,8,5958.0,3,2,4,324
C04847,21,8,21893.820000000007,2,2,5,225
C04848,31,3,4725.0,2,1,3,213
C04849,13,2,1256.0,3,1,1,311
C04850,14,12,9738.5,3,4,5,345
C04851,9,14,6309.0,4,4,4,444
C04852,34,5,2556.0,2,1,2,212
C04853,12,11,3260.0,4,3,2,432
C04854,11,11,2053.0,4,3,1,431
C04855,4,9,6589.470000000001,5,3,4,534
C04856,26,3,1216.0,2,1,1,211
C04857,30,7,2999.0,2,2,2,222
C04858,68,5,3405.0,1,1,2,112
C04859,18,7,20852.410000000003,3,2,5,325
C04860,18,9,4325.0,3,3,3,333
C04861,25,6,1994.0,2,1,1,211
C04862,3,12,7222.0,5,4,4,544
C04863,50,3,636.0,1,1,1,111
C04864,4,12,4457.0,5,4,3,543
C04865,27,5,3191.15,2,1,2,212
C04866,29,3,1780.0,2,1,1,211
C04867,7,8,9387.410000000003,4,2,5,425
C04868,3,14,14371.0,5,4,5,545
C04869,36,15,9075.35,2,5,5,255
C04870,19,10,13961.470000000001,3,3,5,335
C04871,15,15,8037.940000000002,3,5,4,354
C04872,44,8,5204.470000000001,1,2,3,123
C04873,2,9,3349.0,5,3,2,532
C04874,10,15,5941.0,4,5,4,454
C04875,4,14,16834.47,5,4,5,545
C04876,5,14,3239.0,5,4,2,542
C04877,3,7,6067.04,5,2,4,524
C04878,6,7,5107.0,5,2,3,523
C04879,59,3,1632.0,1,1,1,111
C04880,29,11,6451.0,2,3,4,234
C04881,22,14,8978.470000000001,2,4,5,245
C04882,6,8,6607.0,5,2,4,524
C04883,11,12,9614.0,4,4,5,445
C04884,31,14,5480.0,2,4,3,243
C04885,10,6,2710.0,4,1,2,412
C04886,28,7,3327.0,2,2,2,222
C04887,33,7,664.0,2,2,1,221
C04888,6,7,3028.0,5,2,2,522
C04889,4,13,4349.0,5,4,3,543
C04890,39,7,11533.470000000001,1,2,5,125
C04891,38,4,1303.25,1,1,1,111
C04892,20,14,9525.470000000001,3,4,5,345
C04893,6,8,2142.0,5,2,1,521
C04894,7,8,4561.0,4,2,3,423
C04895,7,10,3260.0,4,3,2,432
C04896,25,13,5253.15,2,4,3,243
C04897,21,9,1404.0,2,3,1,231
C04898,11,10,5907.0,4,3,4,434
C04899,15,11,8216.45,3,3,4,334
C04900,12,5,7577.470000000001,4,1,4,414
C04901,24,16,5678.0,2,5,3,253
C04902,18,12,11609.77,3,4,5,345
C04903,9,10,7575.15,4,3,4,434
C04904,2,9,10572.470000000001,5,3,5,535
C04905,34,14,4415.72,2,4,3,243
C04906,5,9,11163.940000000002,5,3,5,535
C04907,9,15,4231.0,4,5,3,453
C04908,20,11,5107.0,3,3,3,333
C04909,5,11,6979.470000000001,5,3,4,534
C04910,14,12,8963.4,3,4,5,345
C04911,27,8,3716.0,2,2,2,222
C04912,19,10,2747.0,3,3,2,332
C04913,38,2,569.0,1,1,1,111
C04914,7,7,5616.0,4,2,3,423
C04915,96,6,4449.0,1,1,3,113
C04916,24,8,2339.0,2,2,2,222
C04917,53,7,3635.0,1,2,2,122
C04918,12,16,8773.0,4,5,5,455
C04919,2,14,8992.0,5,4,5,545
C04920,13,7,5592.0,3,2,3,323
C04921,13,9,10267.470000000001,3,3,5,335
C04922,39,9,4242.0,1,3,3,133
C04923,28,17,13480.0,2,5,5,255
C04924,11,10,2111.0,4,3,1,431
C04925,9,6,3447.0,4,1,2,412
C04926,17,9,9767.0,3,3,5,335
C04927,9,7,2750.0,4,2,2,422
C04928,7,12,4867.0,4,4,3,443
C04929,11,16,9338.5,4,5,5,455
C04930,14,10,6625.15,3,3,4,334
C04931,14,7,2911.0,3,2,2,322
C04932,4,14,6573.0,5,4,4,544
C04933,23,6,3023.0,2,1,2,212
C04934,4,17,8990.0,5,5,5,555
C04935,7,2,1998.0,4,1,1,411
C04936,73,3,1627.0,1,1,1,111
C04937,32,11,2050.0,2,3,1,231
C04938,51,9,4741.970000000001,1,3,3,133
C04939,9,14,5720.0,4,4,3,443
C04940,14,17,6665.0,3,5,4,354
C04941,60,11,12874.410000000003,1,3,5,135
C04942,4,18,7047.0,5,5,4,554
C04943,45,6,11131.940000000002,1,1,5,115
C04944,5,7,2319.0,5,2,1,521
C04945,38,5,1856.0,1,1,1,111
C04946,18,8,6801.0,3,2,4,324
C04947,45,4,2726.0,1,1,2,112
C04948,16,16,6376.470000000001,3,5,4,354
C04949,11,12,2712.0,4,4,2,442
C04950,52,7,1950.0,1,2,1,121
C04951,39,7,3632.0,1,2,2,122
C04952,66,8,2752.0,1,2,2,122
C04953,5,15,5277.0,5,5,3,553
C04954,34,9,6456.5,2,3,4,234
C04955,9,2,1368.0,4,1,1,411
C04956,3,13,9937.0,5,4,5,545
C04957,47,8,3074.35,1,2,2,122
C04958,14,15,6320.0,3,5,4,354
C04959,9,8,1817.0,4,2,1,421
C04960,20,12,7481.0,3,4,4,344
C04961,14,7,2872.0,3,2,2,322
C04962,3,14,12378.5,5,4,5,545
C04963,9,8,4814.0,4,2,3,423
C04964,8,5,2095.0,4,1,1,411
C04965,27,13,13504.680000000004,2,4,5,245
C04966,22,6,1971.0,2,1,1,211
C04967,23,13,13007.87,2,4,5,245
C04968,22,18,6640.0,2,5,4,254
C04969,56,7,6498.0,1,2,4,124
C04970,5,12,3280.0,5,4,2,542
C04971,37,8,3032.0,1,2,2,122
C04972,18,16,8472.0,3,5,4,354
C04973,21,12,14072.0,2,4,5,245
C04974,2,14,8601.0,5,4,5,545
C04975,8,12,6717.0,4,4,4,444
C04976,45,5,2331.0,1,1,1,111
C04977,11,3,842.0,4,1,1,411
C04978,3,16,9754.9,5,5,5,555
C04979,9,7,3750.0,4,2,2,422
C04980,17,5,1464.0,3,1,1,311
C04981,11,3,1205.0,4,1,1,411
C04982,7,15,10861.470000000001,4,5,5,455
C04983,23,4,2093.0,2,1,1,211
C04984,53,5,3108.0,1,1,2,112
C04985,155,2,5278.940000000002,1,1,3,113
C04986,35,7,3034.0,2,2,2,222
C04987,3,11,7153.0,5,3,4,534
C04988,7,10,4278.0,4,3,3,433
C04989,15,6,1688.0,3,1,1,311
C04990,31,9,2430.0,2,3,2,232
C04991,5,15,8391.0,5,5,4,554
C04992,24,15,15512.240000000002,2,5,5,255
C04993,57,6,1013.0,1,1,1,111
C04994,26,7,2084.0,2,2,1,221
C04995,12,11,2905.0,4,3,2,432
C04996,15,10,3001.0,3,3,2,332
C04997,6,11,5004.0,5,3,3,533
C04998,14,18,7668.0,3,5,4,354
C04999,3,9,3558.0,5,3,2,532
C05000,2,9,5404.0,5,3,3,533
C05001,44,12,2414.0,1,4,2,142
C05002,21,9,4151.5,2,3,3,233
C05003,7,10,2930.0,4,3,2,432
C05004,35,4,1307.0,2,1,1,211
C05005,14,8,2420.0,3,2,2,322
C05006,14,3,956.0,3,1,1,311
C05007,58,5,3956.0,1,1,3,113
C05008,33,10,3615.0,2,3,2,232
C05009,12,5,2331.0,4,1,1,411
C05010,34,18,14395.940000000002,2,5,5,255
C05011,18,11,5318.420000000001,3,3,3,333
C05012,22,12,7854.9,2,4,4,244
C05013,17,14,9932.0,3,4,5,345
C05014,3,12,9788.0,5,4,5,545
C05015,24,9,3193.0,2,3,2,232
C05016,6,2,2644.0,5,1,2,512
C05017,73,4,1980.0,1,1,1,111
C05018,16,2,1231.0,3,1,1,311
C05019,11,14,5625.0,4,4,3,443
C05020,4,17,9993.15,5,5,5,555
C05021,2,11,4460.0,5,3,3,533
C05022,78,6,4142.0,1,1,3,113
C05023,4,14,9596.940000000002,5,4,5,545
C05024,5,6,4316.0,5,1,3,513
C05025,5,15,21093.5,5,5,5,555
C05026,39,9,5315.0,1,3,3,133
C05027,62,2,2543.0,1,1,2,112
C05028,68,5,4054.0,1,1,3,113
C05029,31,7,4590.0,2,2,3,223
C05030,14,7,3920.0,3,2,3,323
C05031,29,14,12132.0,2,4,5,245
C05032,75,3,1466.0,1,1,1,111
C05033,6,14,10001.970000000001,5,4,5,545
C05034,131,2,1948.0,1,1,1,111
C05035,4,11,4631.0,5,3,3,533
C05036,9,7,4012.2,4,2,3,423
C05037,16,4,1010.0,3,1,1,311
C05038,4,8,2617.0,5,2,2,522
C05039,6,13,4466.0,5,4,3,543
C05040,23,8,9833.0,2,2,5,225
C05041,20,9,2360.0,3,3,2,332
C05042,3,12,15825.470000000001,5,4,5,545
C05043,5,6,3522.0,5,1,2,512
C05044,16,6,2769.0,3,1,2,312
C05045,58,2,224.0,1,1,1,111
C05046,40,15,6406.0,1,5,4,154
C05047,174,2,997.0,1,1,1,111
C05048,47,7,725.0,1,2,1,121
C05049,17,13,8895.0,3,4,5,345
C05050,92,4,2480.0,1,1,2,112
C05051,29,6,3641.0,2,1,2,212
C05052,2,5,2995.0,5,1,2,512
C05053,118,2,1245.0,1,1,1,111
C05054,47,3,5427.470000000001,1,1,3,113
C05055,8,8,4416.0,4,2,3,423
C05056,3,14,6964.0,5,4,4,544
C05057,2,15,7196.0,5,5,4,554
C05058,65,5,3693.0,1,1,2,112
C05059,20,16,15787.25,3,5,5,355
C05060,21,5,4695.0,2,1,3,213
C05061,41,11,4989.0,1,3,3,133
C05062,5,14,13511.0,5,4,5,545
C05063,23,6,4960.0,2,1,3,213
C05064,12,10,6068.0,4,3,4,434
C05065,24,11,5150.0,2,3,3,233
C05066,16,13,7283.75,3,4,4,344
C05067,9,14,2130.0,4,4,1,441
C05068,18,5,3292.0,3,1,2,312
C05069,5,12,6563.0,5,4,4,544
C05070,30,6,3501.0,2,1,2,212
C05071,40,14,5638.0,1,4,3,143
C05072,99,3,1786.0,1,1,1,111
C05073,22,8,3739.0,2,2,2,222
C05074,20,10,10080.0,3,3,5,335
C05075,16,6,1223.0,3,1,1,311
C05076,23,10,12438.350000000006,2,3,5,235
C05077,7,10,6453.0,4,3,4,434
C05078,4,7,2602.0,5,2,2,522
C05079,36,7,3341.0,2,2,2,222
C05080,91,4,1204.0,1,1,1,111
C05081,7,13,9383.0,4,4,5,445
C05082,83,13,5061.0,1,4,3,143
C05083,40,14,7767.0,1,4,4,144
C05084,16,10,1255.0,3,3,1,331
C05085,6,15,10214.5,5,5,5,555
C05086,18,4,1939.0,3,1,1,311
C05087,15,7,7973.0,3,2,4,324
C05088,8,14,12369.410000000003,4,4,5,445
C05089,5,13,4568.0,5,4,3,543
C05090,40,9,4703.0,1,3,3,133
C05091,50,10,4585.0,1,3,3,133
C05092,11,16,8706.0,4,5,5,455
C05093,14,6,2885.0,3,1,2,312
C05094,38,6,2258.0,1,1,1,111
C05095,15,4,1474.0,3,1,1,311
C05096,33,12,5601.0,2,4,3,243
C05097,5,14,7127.0,5,4,4,544
C05098,17,2,540.0,3,1,1,311
C05099,27,17,11146.470000000001,2,5,5,255
C05100,3,6,2495.0,5,1,2,512
C05101,18,15,4714.0,3,5,3,353
C05102,84,2,3693.64,1,1,2,112
C05103,3,5,9852.0,5,1,5,515
C05104,26,8,14218.5,2,2,5,225
C05105,5,10,4238.25,5,3,3,533
C05106,51,6,2975.0,1,1,2,112
C05107,15,5,1905.0,3,1,1,311
C05108,20,18,12059.1,3,5,5,355
C05109,10,10,8573.15,4,3,5,435
C05110,7,9,8902.0,4,3,5,435
C05111,5,13,6638.470000000001,5,4,4,544
C05112,14,7,3403.0,3,2,2,322
C05113,17,14,8890.0,3,4,5,345
C05114,25,10,8119.0,2,3,4,234
C05115,15,8,4020.0,3,2,3,323
C05116,16,12,26656.410000000003,3,4,5,345
C05117,32,8,1892.0,2,2,1,221
C05118,42,13,4303.0,1,4,3,143
C05119,35,18,8593.0,2,5,5,255
C05120,14,17,7832.3,3,5,4,354
C05121,51,6,3107.0,1,1,2,112
C05122,17,10,6994.0,3,3,4,334
C05123,17,8,2192.0,3,2,1,321
C05124,36,9,3733.0,2,3,2,232
C05125,8,13,6755.0,4,4,4,444
C05126,2,9,5512.0,5,3,3,533
C05127,5,8,4571.0,5,2,3,523
C05128,19,11,4551.0,3,3,3,333
C05129,13,12,13084.5,3,4,5,345
C05130,146,2,807.0,1,1,1,111
C05131,20,11,8467.0,3,3,4,334
C05132,21,17,17348.05,2,5,5,255
C05133,9,14,3475.0,4,4,2,442
C05134,7,14,8336.0,4,4,4,444
C05135,24,8,8076.0,2,2,4,224
C05136,38,5,1984.0,1,1,1,111
C05137,13,9,2755.0,3,3,2,332
C05138,36,9,4999.0,2,3,3,233
C05139,39,12,6965.0,1,4,4,144
C05140,7,15,8749.4,4,5,5,455
C05141,8,6,2483.0,4,1,2,412
C05142,9,17,8145.0,4,5,4,454
C05143,4,3,894.0,5,1,1,511
C05144,18,11,8886.0,3,3,5,335
C05145,5,12,7066.0,5,4,4,544
C05146,27,6,9566.0,2,1,5,215
C05147,31,10,5654.5,2,3,3,233
C05148,47,8,2210.0,1,2,1,121
C05149,6,9,4868.0,5,3,3,533
C05150,13,15,6111.0,3,5,4,354
C05151,13,17,6182.15,3,5,4,354
