index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct
139,Organic Idly Podi - Ginger,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,75.0,75.0,Breakfast & Snack Mixes,3.9,"This is a Ginger flavour Idly Podi that can be had with Idli, Dosa or Adai/Cheela. Ginger helps in digestion. It contains gingerol, a substance with medicinal properties, that can treat many forms of nausea. The anti-inflammatory effects of ginger can help with osteoarthritis, treat chronic indigestion and help fight infections. Certified organic products are only used.",75.0,75.0,0.0
144,Chutney - Sweet Mango Sliced (without Garlic),Snacks & Branded Foods,Pickles & Chutney,Priya,90.0,90.0,Lime & Mango Pickle,3.9,"Priya Sweet Sliced Mango Chutney is rich in taste to meal. Hence, highly demanded. This Sweet Mango Chutney is highly appreciated for its purity and long shelf life. It is having high nutritional value and appetizing taste. This Sliced Mango Chutney is rich in aroma.",90.0,90.0,0.0
148,Ragi Flakes,Snacks & Branded Foods,Breakfast Cereals,Murginns,225.0,225.0,Flakes,4.5,"Made of only Ragi (Nachni) and Jaggery, we guarantee our Ragi Flakes will become your favourite breakfast. Murginns Ragi Flakes is certified organic. With 10x the amount of Calcium found in rice, Ragi is the superfood you need to supercharge your day.",225.0,225.0,0.0
169,Organic Dosa Mix - Jowar,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,80.0,80.0,Breakfast & Snack Mixes,3.7,"Millets are micronutrients which are nutritious and is a replacement for rice and wheat. This Dosa mix is made from Sorghum/Jowar. Jowar is rich in fibre and iron. The high protein content of jowar controls blood sugar level, is good for bone health, and gluten-free. Certified organic products are only used.",80.0,80.0,0.0
186,Breakfast Mix - Finger Millet Ragi Idli,Snacks & Branded Foods,Ready To Cook & Eat,GoodDiet,119.0,149.0,Breakfast & Snack Mixes,4.2,"Ragiidli is a delicious savoury breakfast made from premium quality finger millets. It is extremely healthy, easily digestible and very nutritious. This ready-to-cook breakfast mix also contains sooji, which has a low glycemic index and that makes it a recommended food for diabetics. The high amount of dietary fiber in ragi keeps the stomach full for longer and prevents unwanted cravings. Upgrade your lifestyle by inviting more healthy foods into your kitchen.",119.0,119.0,20.13422818791946
188,Masala Upma,Snacks & Branded Foods,Ready To Cook & Eat,MOM Meal of the Moment,20.0,20.0,Heat & Eat Ready Meals,3.4,Wholesome meal that tastes just like home food. Just add hot water. No preservatives,20.0,20.0,0.0
201,"Chikki, Peanut Bar",Snacks & Branded Foods,Indian Mithai,Paper Boat,40.0,40.0,Chikki & Gajjak,4.1,"The classic! Everybody's favorite snack. Most coveted in tiffin boxes and among post-dinner treats or mid-day snack for that matter. Now that we think about it, this was the ever favorite snack (can you blame us, it is sooo snacky!) Made with the finest quality peanuts and jaggery, its crunchy sweetness is sure to bring a smile to your face.",40.0,40.0,0.0
206,Synthetic Food Colour Preparation Lemon Yellow,Snacks & Branded Foods,Ready To Cook & Eat,999,20.0,20.0,Home Baking,4.0,Synthetic Food Colour Preparation Lemon Yellow,20.0,20.0,0.0
217,Marie Light Biscuits - Oats Fibre,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,25.0,25.0,"Marie, Health, Digestive",4.3,"Sunfeast Marie Light Oats, Crispy Marie biscuits enriched with the goodness of 2 power-packed fibres - natural wheat fibre and soluble oats fibre.",25.0,25.0,0.0
219,Dark Chocolate- 55% Rich In Cocoa,Snacks & Branded Foods,Chocolates & Candies,Amul,87.12,100.0,Chocolates,4.3,Amul Dark Chocolate is made with the finest ingredients and rich cocoa. Its strong flavour and silky texture is just what you need to fall in love with pure cocoa for its authentice taste.,87.12,87.12,12.879999999999994
232,"Energy Bars - Nutty, 4+ Years, 100% Natural & Healthy",Snacks & Branded Foods,Chocolates & Candies,Timios,140.0,140.0,Chocolates,3.6,"Timios Nutty Energy Bars are made from 100% natural and real fruits with the wholesome and goodness of a wide variety of nuts and dried fruits which are loaded and packed with antioxidants and various other essential nutrients that are ideal for the development of cognition and other physical attributes in your little one. This product does not contain processed sugar, artificial colours, added flavour and added preservatives.",140.0,140.0,0.0
236,Namkeen - Khara Boondi,Snacks & Branded Foods,Snacks & Namkeen,Tasties,49.0,85.0,Namkeen & Savoury Snacks,4.0,"Tasties Namkeens are a range of traditional indian savories that are authentic, crispy, and deliciously mouth watering. If you are looking for a quick snack to compliment your evening tea, or a spicy bite to accompany your food, Tasties Namkeen is the perfect fun-food that will leave you craving for more!",49.0,49.0,42.35294117647059
245,Sixer Biscuits - Salted,Snacks & Branded Foods,Biscuits & Cookies,Parle,60.0,60.0,Salted Biscuits,4.2,Parle Sixer Salted is offering a Salty and delicious snack range with small yet filled with flavour pieces of salty biscuits. It has high nutritional value and quiets a hit among the tea time brunches.,60.0,60.0,0.0
250,Mix - Rava Idli,Snacks & Branded Foods,Ready To Cook & Eat,Grb,110.0,110.0,Breakfast & Snack Mixes,4.1,Rava idly is a trendy breakfast recipe and is consumed either during breakfast or evening snack time. GRB's flavor enhancers like Cashew nuts are included in the Rava idly. It mixes well with valid traditional coconut chutney.,110.0,110.0,0.0
265,Frozen - Mixed Vegetables,Snacks & Branded Foods,Frozen Veggies & Snacks,Safal,93.5,110.0,Frozen Vegetables,4.1,"A packet of Safal frozen mixed vegetables is what you need after a hard day's work when you want to spend a minimum amount of time cooking. The vegetables are peeled and finely diced into small pieces, and they are frozen when fresh using the revolutionary individual quick freezing technique. This helps preserve the nutritional content and flavour of the vegetables.",93.5,93.5,15.0
272,Organic Idly - Oats,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,125.0,125.0,Breakfast & Snack Mixes,4.0,"Oats are rich in fibre and minerals. Oats is presented in a convenient form and adopted in a south Indian breakfast style. Rich in antioxidants, oats lowers the cholesterol level and improves blood sugar control. Oatmeal is very filling and it helps to lose weight. Certified organic products are only used to make this product.",125.0,125.0,0.0
287,Yippee Noodles - Magic Masala,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Sunfeast,61.2,68.0,Instant Noodles,4.3,"Sunfeast YiPPee! Magic Masala Noodles are sure to make for a quick, tasty and wholesome meal for your kids. Made with the finest ingredients and the goodness of real vegetables, YiPPee!'s delicious mix of Indian spices give it the much loved magical masala taste. Sunfeast YiPPee! comes packed in a unique round block, which ensures you get long, non-sticky and slurpy tasty instant noodles every time.
Relish them as a tasty snack in the evening, as a wholesome noodle meal which has the right nutrition and a source of Calcium, Vitamin C, Iron Folic acid and Protein, or for a midnight craving munch - perfect for when you want something quick and tasty.",61.2,61.2,9.999999999999996
