index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct,brand_premium_index,price_retention
98,Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill,Beauty & Hygiene,Bath & Hand Wash,Godrej Protekt,32.55,35.0,Hand Wash & Sanitizers,4.4,"Godrej Protekt Mr Magic handwash is a unique powder to liquid format, a first, in the world of handwashes! With Neem which is tough on germs and soothing Aloe Vera makes it gentle on skin. Extremely affordable compared to other handwashes in the market.Mr Magic handwash is not just green in colour, it's also green in nature. If all Indian households that use liquid handwash refills switch to Godrej Protekt Mr Magic refills, it would result in a greener, better world.So, add, pour, shake and wash to stay protected!",32.55,32.55,7.000000000000008,128.86296296296297,0.9299999999999999
152,"Finger Brush For Kids - Blue, Ultra Soft",Beauty & Hygiene,Oral Care,Dentoshine  ,120.0,120.0,Toothbrush,4.3,- Safe & easy to use - Fits comfortably on the finger - Cleans teeth & massages gums - Specially made for gentle care,120.0,120.0,0.0,124.0909090909091,1.0
160,Skin Cream,Beauty & Hygiene,Skin Care,Aloederm,112.5,150.0,Face Care,3.1,"Aloe vera based (Cold processed) Moisturising cream with additional benefits of Niacinamide and Vitamin E in 50 gm tube. Niacinamide increases ceramide and other intercellular lipid levels in epidermis thereby reducing inflammation. Aloe Vera has been known for Keratolytic action for removing dead skin, replacing it with new skin cells. Aloe dilates the capillaries, and thus increases the blood flow, which fastens the wound healing process.",112.5,112.5,25.0,132.16666666666666,0.75
164,Nomarks - Antimarks Soap For Oily Skin,Beauty & Hygiene,Bath & Hand Wash,Bajaj,40.0,40.0,Bathing Bars & Soaps,4.3,"New Bajaj nomarks soap helps remove excess oil, deep-rooted dirt and provides relief from sunburn, blemishes and acne or pimple problems. It is a natural antiseptic which provides deep pore cleansing. Its key ingredient neem is a miraculous herb which is medicinal in nature and has potent antibacterial and powerful healing properties. Neem effectively prevents and treats itching, rashes, acne and other skin ailments.",40.0,40.0,0.0,101.90333333333334,1.0
173,Pain Relief - Oil,Beauty & Hygiene,Hair Care,Himalaya Wellness,90.0,100.0,Hair Oil & Serum,4.4,"Pain Massage Oil is a herbal oil which provides relief from neuromuscular pain and the pain associated with arthritis.  For Beauty tips, tricks & more visit https://bigbasket.blog/",90.0,90.0,10.0,94.35235294117648,0.9
177,Clear Glycerine Soap - Natural Toning (Tea Tree Oil & Honey),Beauty & Hygiene,Bath & Hand Wash,Medimix,40.0,40.0,Bathing Bars & Soaps,4.3,"Medimix Clear Glycerine-Natural Toning is meant for people with Normal Skin. It helps maintain healthy skin-tone the natural way. It contains the unique and time tested combination of Tea-tree Oil, Honey and Glycerine, which helps keep skin clear, firm and healthy. It makes your skin smile!!!  For Beauty tips, tricks & more visit https://bigbasket.blog/",40.0,40.0,0.0,73.38461538461539,1.0
187,Herbal Wine Grapefruit Lip Balm,Beauty & Hygiene,Skin Care,Khadi Natural,99.0,99.0,Lip Care,4.4,"Wine grapefruit lip balm is made with nutritious grapefruit seed oil, bursting with powerful vitamins. It refreshes your lips with a sweet hint of citrus and nourishes with vitamin c and softened and lustrous lips.",99.0,99.0,0.0,170.55113636363637,1.0
207,"Toothpaste - Gum Care, Expert Protection",Beauty & Hygiene,Oral Care,Pepsodent,78.4,98.0,Toothpaste,4.3,"Reduce those dental visits with this Expert Protection Gum Care Toothpaste from Pepsodent. Formulated with Zinc Citrate technology, this toothpaste not only takes care of your teeth, but provides you with the best gum care. Its advanced formula consists of Germ check and Gum guard to provide you with Complete-8 action oral care. Its anti-bacterial formula prevents your teeth from cavities, reduces tartar and lactic acid, and eliminates bacteria to give you a refreshing breath and healthier teeth & gums. 
Perfect for the whole family, this toothpaste should be used twice daily for effective results. Buy this value pack right away and get the complete oral care for your teeth and gums. A quality product of Unilever Dental Research. TM Regd. Made in India.",78.4,78.4,20.0,90.55833333333334,0.8
213,Black Naturals Hair Colour Shade 1-Deep Black 20 ml + 20 gm,Beauty & Hygiene,Hair Care,Garnier,108.78,117.0,Hair Color,4.2,"It is an oil-enriched cream colour which gives natural-looking black hair. Works in 15 minutes, non-drip cream. Maintains softness, smoothness, and shine. No ammonia hair colour. Lasts for 6 weeks.",108.78,108.78,7.025641025641025,151.4924,0.9297435897435897
225,Pure Neem Skin Purifying Face Wash,Beauty & Hygiene,Skin Care,Joy,90.0,120.0,Face Care,4.3,"Joy Pure Neem Skin Purifying Face Wash contains Neem extracts with active salicylates which treat severe acne and pimple breakouts. It fights spots, marks and other skin conditions while washing away excess oil from skin surface without over drying. Skin appears pure and clear. Due to its antioxidant properties, neem protects the skin from harmful UV rays, pollution and other environmental factors. The vitamins and fatty acids in neem improve and maintain the elasticity of the skin, reduce wrinkles and fine lines.Joy Pure Neem Purifying Face Wash contains Neem extracts with active salicylates which treat severe acne and pimple breakouts. Known as an antiseptic and effective against impurities, neem is rich in anti-fungal and anti-bacterial properties. It deep cleanses your skin very gently, removes excess oils and clears clogged pores. Joy Face Wash deep cleanses the skin, resulting in a smooth, supple, and even-toned skin. It clears acne and prevents further breakouts and eruptions.Joy Skin Products are formulated with natural ingredients which provide effective results and long-lasting skin benefits.",90.0,90.0,25.0,142.73857142857145,0.75
