Segment,Recency_mean,Recency_median,Recency_std,Recency_count,Frequency_mean,Frequency_median,Frequency_std,Frequency_count,Monetary_mean,Monetary_median,Monetary_std,Monetary_count,Segment_Name,Value_Score
5,10.083333333333334,10.0,1.1000658741803735,24,21.0,21.0,0.0,24,1492.1833333333332,1490.1,9.315329426211337,24,🌟 Champions,92.3
1,12.64,13.0,0.9073771725877463,25,19.76,20.0,0.4358898943540665,25,1460.504,1460.5,12.19311554389061,25,🌟 Champions,87.6
3,10.0,10.0,0.4999999999999999,9,18.0,18.0,0.0,9,1371.3111111111111,1370.2,7.817359599705769,9,🌟 Champions,84.1
7,19.72222222222222,20.0,0.9582800496695996,18,16.055555555555557,16.0,0.23570226039551567,18,1188.0111111111112,1190.8,9.554911819021708,18,🔔 Need Attention,69.3
2,25.714285714285715,25.0,1.9760470401187067,7,16.0,16.0,0.0,7,1195.0857142857144,1190.8,5.345224838248482,7,🔔 Need Attention,65.3
6,22.22222222222222,22.0,1.092906420717,9,14.0,14.0,0.0,9,1156.9555555555555,1160.3,14.174546827951039,9,💤 About to Sleep,63.3
4,27.105263157894736,27.0,1.1969747440993468,19,14.947368421052632,15.0,0.22941573387056166,19,1140.5842105263157,1140.6,11.010311488070062,19,😴 Hibernating,61.1
0,33.5,33.5,1.8708286933869707,6,15.0,15.0,0.0,6,1150.6,1150.6,10.954451150103322,6,😴 Hibernating,57.0
