Segment,Recency_mean,Recency_median,Recency_std,Recency_count,Frequency_mean,Frequency_median,Frequency_std,Frequency_count,Monetary_mean,Monetary_median,Monetary_std,Monetary_count,Segment_Name,Value_Score
1,14.274725274725276,11.0,11.15222372269696,546,12.456043956043956,12.0,1.9785292725830443,546,23139.8202930403,22259.25,4867.914996289792,546,⚠️ At Risk - High Value,68.2
0,15.204755614266842,13.0,9.768027891473762,757,8.001321003963012,8.0,1.8086354728922818,757,12844.69891677675,13045.0,3515.389268413697,757,🔔 Need Attention,49.8
2,60.233502538071065,55.0,20.4910705892622,197,7.152284263959391,7.0,2.2239781786676525,197,11567.721421319797,11397.880000000005,4286.072921440099,197,🔔 Need Attention,39.1
