Segment,Recency_mean,Recency_median,Recency_std,Recency_count,Frequency_mean,Frequency_median,Frequency_std,Frequency_count,Monetary_mean,Monetary_median,Monetary_std,Monetary_count,Segment_Name
0,67.30584192439862,61.0,23.307522839775356,291,4.594501718213058,4.0,2.2484870029829493,291,2736.6114776632303,2145.0,2382.626225859612,291,Hibernating
1,8.98473282442748,6.0,8.33814549134621,262,22.362595419847327,23.0,5.101481054242863,262,15621.777137404579,14998.625,5608.309010157278,262,Champions
2,16.569165786694825,14.0,11.246903244958132,947,7.447729672650476,7.0,3.1229496645970736,947,4313.445279831046,3680.0,2793.3267579981043,947,Standard (MMM)
