index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct,product_url,rating_value
2779,Large Prawns,"Eggs, Meat & Fish",Fish & Seafood,sumeru,248.0,310.0,Frozen Fish & Seafood,2.9,"Sumeru Five Senses Medium Prawns is the choicest catch from the dirt free, deep and sterilely packed. A fresh juicy prawn is ideal for your curries. Hand picked by Urban Ration to make sure that only the freshest construct reaches your doorstep. It is golden and crisp when fried.",248.0,248.0,20.0,https://www.bigbasket.com/pd/40004587/sumeru-large-prawns-250-g-pouch/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Large%2520Prawns,2.9
2931,Pork - Chorizo,"Eggs, Meat & Fish",Marinades,ALF-FARMS,225.0,225.0,Marinated Meat,4.9,"Tasty Goan sausages, relish them in any way you like!",225.0,225.0,0.0,https://www.bigbasket.com/pd/800350711/alf-farms-pork-chorizo-250-g-vacuum-pack/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=2&t_s=Pork%2520-%2520Chorizo,4.9
3102,Fresh Catch Basa Fish Portions,"Eggs, Meat & Fish",Fish & Seafood,Ifb,290.0,290.0,Frozen Fish & Seafood,3.9,"At IFB FreshCatch we are committed to serving our customers products, of the highest quality. IFB FreshCatch brings to you the authentic taste of premium Vietnamese Basa. They are Individually Quick Frozen (IQF) at a state-of-the-art modern processing plant. The IQF process preserves all the goodness and freshness inside. Upon being thawed and cooked, these give a 'melt in the mouth' experience, which is unmatched in the Indian market. IFB FreshCatch portions are uniform in shape and size, to ease cooking & serving. Enjoy cooking delightful recipes with our premium Basa Portions.",290.0,290.0,0.0,https://www.bigbasket.com/pd/40011535/ifb-fresh-catch-basa-fish-portions-500-g-pouch/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Fresh%2520Catch%2520Basa%2520Fish%2520Portions,3.9
3170,Burger Patty - Chicken,"Eggs, Meat & Fish","Sausages, Bacon & Salami",Republic of Chicken,243.0,270.0,Chicken Sausages,4.1,Republic of Chicken presents their authentic and yummy range of chicken products that are yummy and juicy and are sure to eradicate your hunger completely. They are ready to fry and ready to eat and you can prepare them literally in a matter of a few seconds. You can serve them to your family and loved ones as they are ideal for parties and get-togethers.,243.0,243.0,10.0,https://www.bigbasket.com/pd/800305637/republic-of-chicken-burger-patty-chicken-450-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=2&t_s=Burger%2520Patty%2520-%2520Chicken,4.1
3218,"Ham - Chicken Chilli, Breast","Eggs, Meat & Fish","Sausages, Bacon & Salami",La Carne,250.0,250.0,Chicken Sausages,3.9,"chicken meat (80%), Water, Edible common salt, Soya, Spices & condiments ( Red chilli, White pepper, Coriander), Dextrose, Edible, Strach, Emulsifier E-452& E-407, Yeast extract powder, Antioxidant E -346, colour fixative E-250.",250.0,250.0,0.0,https://www.bigbasket.com/pd/40063433/la-carne-ham-chicken-chilli-breast-150-g-pouch/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Ham%2520-%2520Chicken%2520Chilli%252C%2520Breast,3.9
3315,Buffalo Mince,"Eggs, Meat & Fish",Pork & Other Meats,Saffa,340.0,340.0,Fresh & Frozen Pork,2.8,"Saffa Buffalo Mince is made from the best cuts which give the best flavours. Our mince is without fats and trimmed boneless meat. You can make any dish using this mince for homemade koftas, kebabs, keema etc. It is a good source of protein, antioxidant, B vitamins, iron and many health benefits. Buffalo meat is a very versatile red meat, it is a key ingredient in multiple meal solutions. It is highly suitable for both curries and kebab type dishes. It's just as good as beef mince but with an extra bite and flavour.
Benefits

Buffalo is higher in iron levels than beef.
There is 50% less cholesterol in buffalo than beef or pork and lower sodium levels.
It is a good source of protein, antioxidant, B vitamins, iron and many other health benefits.",340.0,340.0,0.0,https://www.bigbasket.com/pd/10000979/fresho-buffalo-cubes-antibiotic-residue-free-growth-hormone-free-500-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Buffalo%2520Boneless%2520Cubes,2.8
3355,"Pork - Pepperoni Spicy Salami Napoli, Sliced","Eggs, Meat & Fish","Sausages, Bacon & Salami",Fresho Signature,517.2,574.67,Pork & Ham,4.1,"Dautore Italian salamis are differentiated on the basis of type of meat grinding (fine, medium or coarse) and the spices and ingredients (garlic, chilli pepper, fennel seeds) used. These ingredients and grinding type gives every type of Salami, a very specific personality and shape. The shapes are generally elongated and vary in sizes. When sliced, the salami looks red with grains of white/pink fat on the inside. Pepperoni has an intense flavour and appetizing. It also has a very clearly defined smell. Meat, fat and other possible ingredients are minced together, put into casings and matured. Once the salami has matured, it develops its own typical and distinct aroma. Manufactured at Italy. Packed as per Customer requirement. Not a standard pack under weights & Measurement Guidelines. Consume within 05 days from date of Packing. Store in refrigerator at or below 05 degree C in an airtight container.",517.2,517.2,10.00052203873526,https://www.bigbasket.com/pd/40263039/fresho-chicken-salami-sliced-spicy-ready-to-fry-rich-in-protein-500-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=6&t_s=Chicken%2520Salami%2520Sliced%252C%2520Spicy,4.1
3443,Chicken Chili Salami,"Eggs, Meat & Fish","Sausages, Bacon & Salami",ALF-FARMS,145.0,145.0,Chicken Sausages,4.3,"Alf-Farms, An Upcoming Brand Specialized In Ready To Cook Food Category. It Introduces Food Items That Are Traditional And Can Be Made At A Very Short Time Frame. The Alf-Farms Chicken Chilli Salami Keeps The Tradition Of This Brand And Allows The User To Make It A Quick Chicken Dish. It Not Only Provides A Great Taste But Also Gives You A Good Amount Of Nutritional Value.",145.0,145.0,0.0,https://www.bigbasket.com/pd/40041058/alf-farms-chicken-chili-salami-250-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=4&t_s=Chicken%2520Chili%2520Salami,4.3
3460,"Eggs - Brown, Antibiotic Free","Eggs, Meat & Fish",Eggs,Just Laid,72.0,72.0,Farm Eggs,3.7,"Just Laid Healthy Golden Eggs are fresh brown eggs from people with 4 decades of experience in farming. These are antibiotic free and freshly sourced from own farm. Unlikely the common brown eggs, these eggs are odourless and unfertilized eggs from birds. It is rich in protein and helps fight against cholesterol and calories. These eggs come with stronger shells.",72.0,72.0,0.0,https://www.bigbasket.com/pd/40131159/just-laid-eggs-brown-antibiotic-free-6-pcs/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Brown%2520Eggs,3.7
3510,"Seer Fish - Small, Curry Cut, Preservative Free, 8-12 pcs","Eggs, Meat & Fish",Fish & Seafood,Fresho,739.0,899.0,Fresh Fish,3.1,"Net WeightNumber Of PcsServing SizeStorage Temp500 g8-123-4 people0-4 deg celSeer fish is known for their great taste and different health benefits. It is one of the favourite fish in the south. It is used to made different delicacy including fish pickle. Seer fish is good for the heart and has a rich content of Omega-3 fatty acid. This curry cut seer fish comes without the head. It is cleaned and gutted. This comes in 8-12 pcs which are perfect for 3-4 people. It is preservative-free. Fresho is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.",739.0,739.0,17.797552836484982,https://www.bigbasket.com/pd/10000762/fresho-seer-fish-small-curry-cut-preservative-free-8-12-pcs-500-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Seer%2520Fish%2520Curry%2520Cut-Small,3.1
